
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 2
Number of logical  levels of refinement = 1 (2 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.059925e+01 cycle=830 time=8.208203e+00 dt=7.803508e-03
elapsed=1.070938e+01 cycle=835 time=8.247221e+00 dt=7.803437e-03
elapsed=1.081944e+01 cycle=840 time=8.286237e+00 dt=7.802888e-03
elapsed=1.092960e+01 cycle=845 time=8.325250e+00 dt=7.802057e-03
elapsed=1.105117e+01 cycle=850 time=8.364259e+00 dt=7.801247e-03
elapsed=1.117258e+01 cycle=855 time=8.403263e+00 dt=7.800461e-03
elapsed=1.129192e+01 cycle=860 time=8.442264e+00 dt=7.799548e-03
elapsed=1.141011e+01 cycle=865 time=8.481260e+00 dt=7.798732e-03
elapsed=1.151901e+01 cycle=870 time=8.520252e+00 dt=7.797657e-03
elapsed=1.162099e+01 cycle=875 time=8.559237e+00 dt=7.795764e-03
elapsed=1.174122e+01 cycle=880 time=8.598211e+00 dt=7.793722e-03
elapsed=1.185067e+01 cycle=885 time=8.637178e+00 dt=7.792955e-03
elapsed=1.196709e+01 cycle=890 time=8.676142e+00 dt=7.792600e-03
elapsed=1.208876e+01 cycle=895 time=8.715102e+00 dt=7.791208e-03
elapsed=1.219866e+01 cycle=900 time=8.754059e+00 dt=7.792466e-03
elapsed=1.231229e+01 cycle=905 time=8.793025e+00 dt=7.793418e-03
elapsed=1.242482e+01 cycle=910 time=8.831988e+00 dt=7.790479e-03
elapsed=1.254145e+01 cycle=915 time=8.870934e+00 dt=7.788407e-03
elapsed=1.265006e+01 cycle=920 time=8.909876e+00 dt=7.788375e-03
elapsed=1.276920e+01 cycle=925 time=8.948822e+00 dt=7.792312e-03
elapsed=1.287395e+01 cycle=930 time=8.987812e+00 dt=7.805066e-03
elapsed=1.297732e+01 cycle=935 time=9.026832e+00 dt=7.802570e-03
elapsed=1.309464e+01 cycle=940 time=9.065842e+00 dt=7.801277e-03
elapsed=1.320234e+01 cycle=945 time=9.104848e+00 dt=7.801199e-03
elapsed=1.331134e+01 cycle=950 time=9.143853e+00 dt=7.800771e-03
elapsed=1.342077e+01 cycle=955 time=9.182852e+00 dt=7.796934e-03
elapsed=1.353647e+01 cycle=960 time=9.221824e+00 dt=7.790699e-03
elapsed=1.364371e+01 cycle=965 time=9.260771e+00 dt=7.788945e-03
elapsed=1.374955e+01 cycle=970 time=9.299720e+00 dt=7.792137e-03
elapsed=1.385441e+01 cycle=975 time=9.338691e+00 dt=7.796619e-03
elapsed=1.396784e+01 cycle=980 time=9.377673e+00 dt=7.794296e-03
elapsed=1.408214e+01 cycle=985 time=9.416630e+00 dt=7.787436e-03
elapsed=1.419325e+01 cycle=990 time=9.455557e+00 dt=7.782996e-03
elapsed=1.430269e+01 cycle=995 time=9.494467e+00 dt=7.780328e-03
elapsed=1.442011e+01 cycle=1000 time=9.533361e+00 dt=7.776307e-03
elapsed=1.453329e+01 cycle=1005 time=9.572236e+00 dt=7.773915e-03
elapsed=1.464802e+01 cycle=1010 time=9.611107e+00 dt=7.774458e-03
elapsed=1.475928e+01 cycle=1015 time=9.649979e+00 dt=7.773915e-03
elapsed=1.487698e+01 cycle=1020 time=9.688845e+00 dt=7.772114e-03
elapsed=1.499366e+01 cycle=1025 time=9.727701e+00 dt=7.770026e-03
elapsed=1.511506e+01 cycle=1030 time=9.766548e+00 dt=7.768345e-03
elapsed=1.522034e+01 cycle=1035 time=9.805387e+00 dt=7.766978e-03
elapsed=1.533178e+01 cycle=1040 time=9.844218e+00 dt=7.765112e-03
elapsed=1.544541e+01 cycle=1045 time=9.883039e+00 dt=7.762758e-03
elapsed=1.555047e+01 cycle=1050 time=9.921849e+00 dt=7.760995e-03
elapsed=1.565723e+01 cycle=1055 time=9.960664e+00 dt=7.773026e-03
elapsed=1.575722e+01 cycle=1060 time=9.999600e+00 dt=4.000183e-04

Terminating on time limit
time=1.000000e+01 cycle=1061
tlim=1.000000e+01 nlim=-1

MeshBlock-cycles = 1240
cpu time used  = 1.575625e+01
zone-cycles/cpu_second = 5.036730e+03
particle-updates/cpu_second = 0.000000e+00
