
Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=7.119354e-02 cycle=0 time=0.000000e+00 dt=4.314425e-05
elapsed=1.024481e+00 cycle=100 time=4.299146e-03 dt=4.291691e-05
elapsed=1.975601e+00 cycle=200 time=8.602384e-03 dt=4.310333e-05
elapsed=2.966155e+00 cycle=300 time=1.291410e-02 dt=4.312733e-05
elapsed=3.914215e+00 cycle=400 time=1.722747e-02 dt=4.313828e-05
elapsed=4.945688e+00 cycle=500 time=2.154130e-02 dt=4.313775e-05
elapsed=5.890477e+00 cycle=600 time=2.585206e-02 dt=4.307634e-05
elapsed=6.869573e+00 cycle=700 time=3.015327e-02 dt=4.290512e-05
elapsed=7.811378e+00 cycle=800 time=3.444307e-02 dt=4.285225e-05
elapsed=8.751725e+00 cycle=900 time=3.872671e-02 dt=4.276778e-05
elapsed=9.727085e+00 cycle=1000 time=4.299008e-02 dt=4.259503e-05
elapsed=1.066426e+01 cycle=1100 time=4.725265e-02 dt=4.248920e-05
elapsed=1.169642e+01 cycle=1200 time=5.148145e-02 dt=4.207927e-05
elapsed=1.263090e+01 cycle=1300 time=5.568451e-02 dt=4.199491e-05
elapsed=1.356563e+01 cycle=1400 time=5.988568e-02 dt=4.203715e-05
elapsed=1.453589e+01 cycle=1500 time=6.408618e-02 dt=4.195893e-05
elapsed=1.547046e+01 cycle=1600 time=6.828259e-02 dt=4.191583e-05
elapsed=1.650195e+01 cycle=1700 time=7.247525e-02 dt=4.175794e-05
elapsed=1.743617e+01 cycle=1800 time=7.663273e-02 dt=4.131507e-05
elapsed=1.840066e+01 cycle=1900 time=8.075118e-02 dt=4.105946e-05
elapsed=1.933430e+01 cycle=2000 time=8.486306e-02 dt=4.133056e-05
elapsed=2.026810e+01 cycle=2100 time=8.895840e-02 dt=4.054038e-05
elapsed=2.129873e+01 cycle=2200 time=9.293318e-02 dt=3.835902e-05
elapsed=2.223295e+01 cycle=2300 time=9.690060e-02 dt=4.093052e-05
elapsed=2.320206e+01 cycle=2400 time=1.009801e-01 dt=4.039588e-05
elapsed=2.413549e+01 cycle=2500 time=1.049696e-01 dt=3.946936e-05
elapsed=2.506898e+01 cycle=2600 time=1.087645e-01 dt=3.587341e-05
elapsed=2.609900e+01 cycle=2700 time=1.123726e-01 dt=3.940975e-05
elapsed=2.703297e+01 cycle=2800 time=1.163049e-01 dt=3.906696e-05
elapsed=2.800223e+01 cycle=2900 time=1.201980e-01 dt=3.884256e-05
elapsed=2.893634e+01 cycle=3000 time=1.241028e-01 dt=3.910659e-05
elapsed=2.987010e+01 cycle=3100 time=1.279545e-01 dt=3.763437e-05
elapsed=3.090028e+01 cycle=3200 time=1.318252e-01 dt=3.853614e-05
elapsed=3.183363e+01 cycle=3300 time=1.356268e-01 dt=3.736739e-05
elapsed=3.276613e+01 cycle=3400 time=1.393303e-01 dt=3.715109e-05
elapsed=3.373442e+01 cycle=3500 time=1.430835e-01 dt=3.786809e-05
elapsed=3.466677e+01 cycle=3600 time=1.469183e-01 dt=3.853579e-05
elapsed=3.563528e+01 cycle=3700 time=1.507832e-01 dt=3.879253e-05
elapsed=3.656747e+01 cycle=3800 time=1.546453e-01 dt=3.816298e-05
elapsed=3.749968e+01 cycle=3900 time=1.584152e-01 dt=3.699447e-05
elapsed=3.851464e+01 cycle=4000 time=1.620209e-01 dt=3.506213e-05
elapsed=3.944624e+01 cycle=4100 time=1.654442e-01 dt=3.473805e-05
elapsed=4.037911e+01 cycle=4200 time=1.690650e-01 dt=3.828921e-05
elapsed=4.141634e+01 cycle=4300 time=1.728872e-01 dt=3.832152e-05
elapsed=4.234976e+01 cycle=4400 time=1.767344e-01 dt=3.862273e-05
elapsed=4.336531e+01 cycle=4500 time=1.806073e-01 dt=3.864237e-05
elapsed=4.429813e+01 cycle=4600 time=1.844563e-01 dt=3.829185e-05
elapsed=4.523035e+01 cycle=4700 time=1.882685e-01 dt=3.806379e-05
elapsed=4.624694e+01 cycle=4800 time=1.920730e-01 dt=3.805825e-05
elapsed=4.717815e+01 cycle=4900 time=1.958760e-01 dt=3.801921e-05
elapsed=4.810957e+01 cycle=5000 time=1.996861e-01 dt=3.805018e-05
elapsed=4.912929e+01 cycle=5100 time=2.034771e-01 dt=3.799067e-05
elapsed=5.005981e+01 cycle=5200 time=2.072711e-01 dt=3.754220e-05
elapsed=5.107300e+01 cycle=5300 time=2.109699e-01 dt=3.653432e-05
elapsed=5.200580e+01 cycle=5400 time=2.145890e-01 dt=3.589372e-05
elapsed=5.293844e+01 cycle=5500 time=2.181762e-01 dt=3.586796e-05
elapsed=5.390557e+01 cycle=5600 time=2.217819e-01 dt=3.668816e-05
elapsed=5.483646e+01 cycle=5700 time=2.254950e-01 dt=3.675081e-05
elapsed=5.576738e+01 cycle=5800 time=2.291717e-01 dt=3.693686e-05
elapsed=5.678373e+01 cycle=5900 time=2.326537e-01 dt=3.368242e-05
elapsed=5.771530e+01 cycle=6000 time=2.362569e-01 dt=3.711400e-05
elapsed=5.864636e+01 cycle=6100 time=2.399692e-01 dt=3.713396e-05
elapsed=5.961466e+01 cycle=6200 time=2.436607e-01 dt=3.635709e-05
elapsed=6.054547e+01 cycle=6300 time=2.472974e-01 dt=3.666737e-05
elapsed=6.156260e+01 cycle=6400 time=2.509594e-01 dt=3.665928e-05
elapsed=6.249363e+01 cycle=6500 time=2.546258e-01 dt=3.689128e-05
elapsed=6.342415e+01 cycle=6600 time=2.583666e-01 dt=3.802669e-05
elapsed=6.439183e+01 cycle=6700 time=2.622210e-01 dt=3.876423e-05
elapsed=6.532253e+01 cycle=6800 time=2.660618e-01 dt=3.798927e-05
elapsed=6.625279e+01 cycle=6900 time=2.698136e-01 dt=3.724521e-05
elapsed=6.721928e+01 cycle=7000 time=2.734918e-01 dt=3.667578e-05
elapsed=6.814974e+01 cycle=7100 time=2.771490e-01 dt=3.734556e-05
elapsed=6.911566e+01 cycle=7200 time=2.809461e-01 dt=3.861403e-05
elapsed=7.004538e+01 cycle=7300 time=2.847886e-01 dt=3.822247e-05
elapsed=7.097484e+01 cycle=7400 time=2.886198e-01 dt=3.840508e-05
elapsed=7.198966e+01 cycle=7500 time=2.923752e-01 dt=3.708481e-05
elapsed=7.291993e+01 cycle=7600 time=2.960457e-01 dt=3.659478e-05
elapsed=7.384956e+01 cycle=7700 time=2.997202e-01 dt=3.681267e-05
elapsed=7.481585e+01 cycle=7800 time=3.033597e-01 dt=3.583207e-05
elapsed=7.574545e+01 cycle=7900 time=3.068990e-01 dt=3.521163e-05
elapsed=7.676095e+01 cycle=8000 time=3.104299e-01 dt=3.564677e-05
elapsed=7.769105e+01 cycle=8100 time=3.140093e-01 dt=3.566607e-05
elapsed=7.862192e+01 cycle=8200 time=3.175657e-01 dt=3.561213e-05
elapsed=7.958953e+01 cycle=8300 time=3.211471e-01 dt=3.599736e-05
elapsed=8.052126e+01 cycle=8400 time=3.247619e-01 dt=3.580968e-05
elapsed=8.145405e+01 cycle=8500 time=3.283505e-01 dt=3.654580e-05
elapsed=8.248619e+01 cycle=8600 time=3.319669e-01 dt=3.640714e-05
elapsed=8.341940e+01 cycle=8700 time=3.356194e-01 dt=3.618780e-05
elapsed=8.435201e+01 cycle=8800 time=3.392322e-01 dt=3.598630e-05
elapsed=8.531949e+01 cycle=8900 time=3.428316e-01 dt=3.593766e-05
elapsed=8.625063e+01 cycle=9000 time=3.464321e-01 dt=3.587469e-05
elapsed=8.726712e+01 cycle=9100 time=3.500049e-01 dt=3.573299e-05
elapsed=8.819768e+01 cycle=9200 time=3.535574e-01 dt=3.512860e-05
elapsed=8.912809e+01 cycle=9300 time=3.570481e-01 dt=3.503801e-05
elapsed=9.009329e+01 cycle=9400 time=3.605662e-01 dt=3.524657e-05
elapsed=9.102388e+01 cycle=9500 time=3.640856e-01 dt=3.502100e-05
elapsed=9.195406e+01 cycle=9600 time=3.675541e-01 dt=3.432332e-05
elapsed=9.297136e+01 cycle=9700 time=3.709676e-01 dt=3.437943e-05
elapsed=9.390142e+01 cycle=9800 time=3.744759e-01 dt=3.522852e-05
elapsed=9.483111e+01 cycle=9900 time=3.779932e-01 dt=3.505533e-05
elapsed=9.579732e+01 cycle=10000 time=3.814520e-01 dt=3.463059e-05
elapsed=9.672707e+01 cycle=10100 time=3.849030e-01 dt=3.450576e-05
elapsed=9.765639e+01 cycle=10200 time=3.883325e-01 dt=3.366008e-05
elapsed=9.862290e+01 cycle=10300 time=3.916396e-01 dt=3.284001e-05
elapsed=9.955159e+01 cycle=10400 time=3.949342e-01 dt=3.307445e-05
elapsed=1.004805e+02 cycle=10500 time=3.982912e-01 dt=3.408354e-05
elapsed=1.014454e+02 cycle=10600 time=4.017582e-01 dt=3.525710e-05
elapsed=1.023738e+02 cycle=10700 time=4.052742e-01 dt=3.421416e-05
elapsed=1.033023e+02 cycle=10800 time=4.086042e-01 dt=3.246864e-05
elapsed=1.043294e+02 cycle=10900 time=4.119616e-01 dt=3.475231e-05
