
Root grid = 8 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 8
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=6.256313e+01 cycle=66100 time=5.662117e+00 dt=8.641781e-05
elapsed=6.341757e+01 cycle=66200 time=5.670544e+00 dt=8.419428e-05
elapsed=6.425306e+01 cycle=66300 time=5.679258e+00 dt=9.230569e-05
elapsed=6.510481e+01 cycle=66400 time=5.688490e+00 dt=9.210511e-05
elapsed=6.595117e+01 cycle=66500 time=5.697627e+00 dt=9.037172e-05
elapsed=6.679256e+01 cycle=66600 time=5.706632e+00 dt=8.947671e-05
elapsed=6.762595e+01 cycle=66700 time=5.715404e+00 dt=8.586026e-05
elapsed=6.845639e+01 cycle=66800 time=5.723920e+00 dt=8.505806e-05
elapsed=6.928345e+01 cycle=66900 time=5.732490e+00 dt=8.594614e-05
elapsed=7.010627e+01 cycle=67000 time=5.741030e+00 dt=8.549016e-05
elapsed=7.090806e+01 cycle=67100 time=5.749492e+00 dt=8.476896e-05
elapsed=7.173377e+01 cycle=67200 time=5.757921e+00 dt=8.380390e-05
elapsed=7.255429e+01 cycle=67300 time=5.766308e+00 dt=8.374397e-05
elapsed=7.337247e+01 cycle=67400 time=5.774770e+00 dt=8.533826e-05
elapsed=7.419280e+01 cycle=67500 time=5.783276e+00 dt=8.481164e-05
elapsed=7.501305e+01 cycle=67600 time=5.791727e+00 dt=8.469524e-05
elapsed=7.583330e+01 cycle=67700 time=5.800044e+00 dt=8.302502e-05
elapsed=7.663908e+01 cycle=67800 time=5.808526e+00 dt=8.520044e-05
elapsed=7.745807e+01 cycle=67900 time=5.817156e+00 dt=8.789593e-05
elapsed=7.828123e+01 cycle=68000 time=5.826016e+00 dt=8.911694e-05
elapsed=7.910353e+01 cycle=68100 time=5.834948e+00 dt=8.814199e-05
elapsed=7.992616e+01 cycle=68200 time=5.843435e+00 dt=8.273105e-05
elapsed=8.074800e+01 cycle=68300 time=5.851715e+00 dt=8.359628e-05
elapsed=8.155427e+01 cycle=68400 time=5.859918e+00 dt=8.781581e-05
elapsed=8.237445e+01 cycle=68500 time=5.868666e+00 dt=8.715116e-05
elapsed=8.320083e+01 cycle=68600 time=5.877342e+00 dt=8.617259e-05
elapsed=8.402950e+01 cycle=68700 time=5.885919e+00 dt=8.572218e-05
elapsed=8.485541e+01 cycle=68800 time=5.894517e+00 dt=8.597250e-05
elapsed=8.568218e+01 cycle=68900 time=5.903055e+00 dt=8.544393e-05
elapsed=8.651373e+01 cycle=69000 time=5.911708e+00 dt=8.731507e-05
elapsed=8.734224e+01 cycle=69100 time=5.920241e+00 dt=8.235193e-05
elapsed=8.814667e+01 cycle=69200 time=5.928354e+00 dt=8.157071e-05
elapsed=8.897250e+01 cycle=69300 time=5.936912e+00 dt=8.712412e-05
elapsed=8.979969e+01 cycle=69400 time=5.945551e+00 dt=8.473985e-05
elapsed=9.062728e+01 cycle=69500 time=5.953950e+00 dt=8.251888e-05
elapsed=9.145720e+01 cycle=69600 time=5.962077e+00 dt=8.026029e-05
elapsed=9.226116e+01 cycle=69700 time=5.969945e+00 dt=7.677502e-05
elapsed=9.308503e+01 cycle=69800 time=5.977304e+00 dt=6.966788e-05
elapsed=9.391143e+01 cycle=69900 time=5.985014e+00 dt=8.353789e-05
elapsed=9.473806e+01 cycle=70000 time=5.993428e+00 dt=8.380378e-05
elapsed=9.556989e+01 cycle=70100 time=6.001590e+00 dt=7.720330e-05
elapsed=9.637846e+01 cycle=70200 time=6.009309e+00 dt=8.291566e-05
elapsed=9.720592e+01 cycle=70300 time=6.017824e+00 dt=8.582527e-05
elapsed=9.803340e+01 cycle=70400 time=6.026310e+00 dt=8.262887e-05
elapsed=9.886113e+01 cycle=70500 time=6.034694e+00 dt=8.433640e-05
elapsed=9.969060e+01 cycle=70600 time=6.043053e+00 dt=8.263483e-05
elapsed=1.005189e+02 cycle=70700 time=6.051332e+00 dt=8.312837e-05
elapsed=1.013351e+02 cycle=70800 time=6.059792e+00 dt=8.418566e-05
elapsed=1.021671e+02 cycle=70900 time=6.068070e+00 dt=8.270236e-05
elapsed=1.030008e+02 cycle=71000 time=6.076342e+00 dt=8.170231e-05
elapsed=1.038335e+02 cycle=71100 time=6.084374e+00 dt=7.847729e-05
elapsed=1.046640e+02 cycle=71200 time=6.092055e+00 dt=7.502440e-05
elapsed=1.054748e+02 cycle=71300 time=6.099668e+00 dt=7.859572e-05
elapsed=1.063131e+02 cycle=71400 time=6.107861e+00 dt=8.539704e-05
elapsed=1.071443e+02 cycle=71500 time=6.116410e+00 dt=8.566944e-05
elapsed=1.079789e+02 cycle=71600 time=6.124839e+00 dt=8.284687e-05
elapsed=1.088135e+02 cycle=71700 time=6.133072e+00 dt=8.108090e-05
elapsed=1.096481e+02 cycle=71800 time=6.141099e+00 dt=8.184460e-05
elapsed=1.104619e+02 cycle=71900 time=6.149431e+00 dt=8.664423e-05
elapsed=1.113040e+02 cycle=72000 time=6.158138e+00 dt=8.784504e-05
elapsed=1.121487e+02 cycle=72100 time=6.166462e+00 dt=7.968997e-05
elapsed=1.129847e+02 cycle=72200 time=6.174445e+00 dt=8.097281e-05
elapsed=1.138237e+02 cycle=72300 time=6.182459e+00 dt=7.855933e-05
elapsed=1.146640e+02 cycle=72400 time=6.190010e+00 dt=7.203644e-05
elapsed=1.154738e+02 cycle=72500 time=6.196793e+00 dt=6.313470e-05
elapsed=1.163161e+02 cycle=72600 time=6.204107e+00 dt=8.671767e-05
elapsed=1.171521e+02 cycle=72700 time=6.212321e+00 dt=8.050821e-05
elapsed=1.179890e+02 cycle=72800 time=6.220786e+00 dt=8.639632e-05
elapsed=1.188034e+02 cycle=72900 time=6.229382e+00 dt=8.453526e-05
elapsed=1.196394e+02 cycle=73000 time=6.237764e+00 dt=8.347613e-05
elapsed=1.204763e+02 cycle=73100 time=6.246182e+00 dt=8.480063e-05
elapsed=1.213187e+02 cycle=73200 time=6.254659e+00 dt=8.457897e-05
elapsed=1.221537e+02 cycle=73300 time=6.263058e+00 dt=8.130431e-05
elapsed=1.229890e+02 cycle=73400 time=6.270942e+00 dt=7.673782e-05
elapsed=1.238082e+02 cycle=73500 time=6.278876e+00 dt=8.743613e-05
elapsed=1.246474e+02 cycle=73600 time=6.287624e+00 dt=8.706387e-05
elapsed=1.254847e+02 cycle=73700 time=6.296151e+00 dt=8.409750e-05
elapsed=1.263277e+02 cycle=73800 time=6.304326e+00 dt=7.915913e-05
elapsed=1.271651e+02 cycle=73900 time=6.312213e+00 dt=7.850810e-05
elapsed=1.280029e+02 cycle=74000 time=6.320550e+00 dt=8.804486e-05
elapsed=1.288214e+02 cycle=74100 time=6.329634e+00 dt=9.252420e-05
elapsed=1.296589e+02 cycle=74200 time=6.338617e+00 dt=8.764173e-05
elapsed=1.304949e+02 cycle=74300 time=6.347351e+00 dt=9.008857e-05
elapsed=1.313347e+02 cycle=74400 time=6.356053e+00 dt=8.402576e-05
elapsed=1.321709e+02 cycle=74500 time=6.364248e+00 dt=8.039982e-05
elapsed=1.330056e+02 cycle=74600 time=6.372210e+00 dt=7.865929e-05
elapsed=1.338223e+02 cycle=74700 time=6.379874e+00 dt=7.440337e-05
elapsed=1.346561e+02 cycle=74800 time=6.387111e+00 dt=7.099383e-05
elapsed=1.354907e+02 cycle=74900 time=6.394190e+00 dt=7.034712e-05
elapsed=1.363336e+02 cycle=75000 time=6.401256e+00 dt=7.171106e-05
elapsed=1.371492e+02 cycle=75100 time=6.408464e+00 dt=7.299962e-05
elapsed=1.379876e+02 cycle=75200 time=6.416094e+00 dt=7.770312e-05
elapsed=1.388259e+02 cycle=75300 time=6.424016e+00 dt=8.062024e-05
elapsed=1.396639e+02 cycle=75400 time=6.432144e+00 dt=8.178274e-05
elapsed=1.405061e+02 cycle=75500 time=6.440432e+00 dt=8.166709e-05
elapsed=1.415611e+02 cycle=75600 time=6.448233e+00 dt=7.399198e-05
elapsed=1.431136e+02 cycle=75700 time=6.455502e+00 dt=7.375944e-05
elapsed=1.439413e+02 cycle=75800 time=6.463193e+00 dt=8.054061e-05
elapsed=1.447872e+02 cycle=75900 time=6.471235e+00 dt=8.289604e-05
elapsed=1.456103e+02 cycle=76000 time=6.479721e+00 dt=8.386448e-05
elapsed=1.464594e+02 cycle=76100 time=6.487986e+00 dt=8.328863e-05
elapsed=1.473048e+02 cycle=76200 time=6.496163e+00 dt=8.068498e-05
elapsed=1.481493e+02 cycle=76300 time=6.504193e+00 dt=8.007330e-05
elapsed=1.489926e+02 cycle=76400 time=6.512166e+00 dt=7.953351e-05
elapsed=1.498400e+02 cycle=76500 time=6.520164e+00 dt=8.144288e-05
elapsed=1.506656e+02 cycle=76600 time=6.528604e+00 dt=8.587829e-05
elapsed=1.515166e+02 cycle=76700 time=6.537140e+00 dt=8.435056e-05
elapsed=1.523619e+02 cycle=76800 time=6.545499e+00 dt=8.392498e-05
elapsed=1.532068e+02 cycle=76900 time=6.553888e+00 dt=8.383337e-05
elapsed=1.540551e+02 cycle=77000 time=6.562214e+00 dt=8.353620e-05
elapsed=1.549019e+02 cycle=77100 time=6.570669e+00 dt=8.532761e-05
elapsed=1.557315e+02 cycle=77200 time=6.579286e+00 dt=8.630578e-05
elapsed=1.565856e+02 cycle=77300 time=6.587882e+00 dt=8.601294e-05
elapsed=1.574341e+02 cycle=77400 time=6.596451e+00 dt=8.506494e-05
elapsed=1.582866e+02 cycle=77500 time=6.605137e+00 dt=8.861957e-05
elapsed=1.591394e+02 cycle=77600 time=6.614108e+00 dt=9.022870e-05
elapsed=1.599927e+02 cycle=77700 time=6.623160e+00 dt=9.071766e-05
elapsed=1.608442e+02 cycle=77800 time=6.632191e+00 dt=8.935766e-05
elapsed=1.617007e+02 cycle=77900 time=6.641099e+00 dt=8.933407e-05
elapsed=1.625541e+02 cycle=78000 time=6.650058e+00 dt=9.007470e-05
elapsed=1.633864e+02 cycle=78100 time=6.659016e+00 dt=8.842962e-05
elapsed=1.642409e+02 cycle=78200 time=6.667724e+00 dt=8.558948e-05
elapsed=1.650955e+02 cycle=78300 time=6.676053e+00 dt=8.082556e-05
elapsed=1.659490e+02 cycle=78400 time=6.684200e+00 dt=8.223874e-05
elapsed=1.668107e+02 cycle=78500 time=6.692588e+00 dt=8.548719e-05
elapsed=1.676655e+02 cycle=78600 time=6.701231e+00 dt=8.747637e-05
elapsed=1.685007e+02 cycle=78700 time=6.709873e+00 dt=8.554598e-05
elapsed=1.693530e+02 cycle=78800 time=6.718352e+00 dt=8.440821e-05
elapsed=1.702061e+02 cycle=78900 time=6.726876e+00 dt=8.607023e-05
elapsed=1.710599e+02 cycle=79000 time=6.735367e+00 dt=8.340290e-05
elapsed=1.719182e+02 cycle=79100 time=6.743598e+00 dt=8.157453e-05
elapsed=1.727735e+02 cycle=79200 time=6.751879e+00 dt=8.337955e-05
elapsed=1.736277e+02 cycle=79300 time=6.760248e+00 dt=8.249180e-05
elapsed=1.744607e+02 cycle=79400 time=6.768540e+00 dt=8.490315e-05
elapsed=1.753148e+02 cycle=79500 time=6.777233e+00 dt=8.758408e-05
elapsed=1.761729e+02 cycle=79600 time=6.785991e+00 dt=8.741111e-05
elapsed=1.770256e+02 cycle=79700 time=6.794774e+00 dt=8.707096e-05
elapsed=1.778801e+02 cycle=79800 time=6.803417e+00 dt=8.548591e-05
elapsed=1.787351e+02 cycle=79900 time=6.811924e+00 dt=8.418825e-05
elapsed=1.795939e+02 cycle=80000 time=6.820037e+00 dt=8.100014e-05
elapsed=1.804312e+02 cycle=80100 time=6.828424e+00 dt=8.399628e-05
elapsed=1.812959e+02 cycle=80200 time=6.836791e+00 dt=8.306635e-05
elapsed=1.821527e+02 cycle=80300 time=6.844981e+00 dt=8.096326e-05
