
Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.473258e-02 cycle=0 time=0.000000e+00 dt=1.725770e-04
elapsed=1.585931e-01 cycle=100 time=1.723267e-02 dt=1.725501e-04
elapsed=3.107277e-01 cycle=200 time=3.448580e-02 dt=1.721951e-04
elapsed=4.624615e-01 cycle=300 time=5.164316e-02 dt=1.711664e-04
elapsed=6.048234e-01 cycle=400 time=6.865981e-02 dt=1.696303e-04
elapsed=7.563367e-01 cycle=500 time=8.571198e-02 dt=1.706511e-04
elapsed=9.077948e-01 cycle=600 time=1.027671e-01 dt=1.704814e-04
elapsed=1.049766e+00 cycle=700 time=1.197509e-01 dt=1.689383e-04
elapsed=1.201779e+00 cycle=800 time=1.364632e-01 dt=1.634046e-04
elapsed=1.353834e+00 cycle=900 time=1.528163e-01 dt=1.635210e-04
elapsed=1.496296e+00 cycle=1000 time=1.692428e-01 dt=1.644133e-04
elapsed=1.648483e+00 cycle=1100 time=1.856410e-01 dt=1.640539e-04
elapsed=1.800991e+00 cycle=1200 time=2.020388e-01 dt=1.640919e-04
elapsed=1.943513e+00 cycle=1300 time=2.183418e-01 dt=1.628872e-04
elapsed=2.095609e+00 cycle=1400 time=2.346073e-01 dt=1.619125e-04
elapsed=2.247701e+00 cycle=1500 time=2.508231e-01 dt=1.615944e-04
elapsed=2.390201e+00 cycle=1600 time=2.672403e-01 dt=1.667370e-04
elapsed=2.542234e+00 cycle=1700 time=2.836399e-01 dt=1.628992e-04
elapsed=2.684584e+00 cycle=1800 time=2.999853e-01 dt=1.639946e-04
elapsed=2.836794e+00 cycle=1900 time=3.163737e-01 dt=1.634221e-04
elapsed=2.989311e+00 cycle=2000 time=3.326386e-01 dt=1.630407e-04
elapsed=3.132012e+00 cycle=2100 time=3.489265e-01 dt=1.614615e-04
elapsed=3.283815e+00 cycle=2200 time=3.650587e-01 dt=1.617435e-04
elapsed=3.434954e+00 cycle=2300 time=3.813046e-01 dt=1.613582e-04
elapsed=3.575542e+00 cycle=2400 time=3.973860e-01 dt=1.611119e-04
elapsed=3.724450e+00 cycle=2500 time=4.135198e-01 dt=1.606765e-04
elapsed=3.863231e+00 cycle=2600 time=4.295072e-01 dt=1.569761e-04
elapsed=4.010962e+00 cycle=2700 time=4.452730e-01 dt=1.585345e-04
elapsed=4.158525e+00 cycle=2800 time=4.613672e-01 dt=1.603649e-04
elapsed=4.296182e+00 cycle=2900 time=4.774749e-01 dt=1.626508e-04
elapsed=4.443705e+00 cycle=3000 time=4.937387e-01 dt=1.620245e-04
elapsed=4.581380e+00 cycle=3100 time=5.098302e-01 dt=1.597723e-04
elapsed=4.728819e+00 cycle=3200 time=5.259884e-01 dt=1.648253e-04
