
Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.060420e-02 cycle=0 time=0.000000e+00 dt=6.903080e-04
elapsed=1.170015e-01 cycle=100 time=6.886652e-02 dt=6.890037e-04
elapsed=2.290004e-01 cycle=200 time=1.373920e-01 dt=6.847167e-04
elapsed=3.393919e-01 cycle=300 time=2.061488e-01 dt=6.903431e-04
elapsed=4.506764e-01 cycle=400 time=2.750016e-01 dt=6.849364e-04
elapsed=5.622366e-01 cycle=500 time=3.436707e-01 dt=6.887682e-04
elapsed=6.736191e-01 cycle=600 time=4.125323e-01 dt=6.866615e-04
elapsed=7.847900e-01 cycle=700 time=4.810713e-01 dt=6.859879e-04
elapsed=8.867987e-01 cycle=800 time=5.497601e-01 dt=6.862638e-04
elapsed=9.960219e-01 cycle=900 time=6.182577e-01 dt=6.844764e-04
elapsed=1.105267e+00 cycle=1000 time=6.867884e-01 dt=6.853081e-04
elapsed=1.213914e+00 cycle=1100 time=7.552257e-01 dt=6.833139e-04
elapsed=1.322488e+00 cycle=1200 time=8.235238e-01 dt=6.833155e-04
elapsed=1.431385e+00 cycle=1300 time=8.918840e-01 dt=6.829115e-04
elapsed=1.540935e+00 cycle=1400 time=9.600366e-01 dt=6.783653e-04
elapsed=1.643193e+00 cycle=1500 time=1.027538e+00 dt=6.713676e-04
elapsed=1.752575e+00 cycle=1600 time=1.094369e+00 dt=6.657912e-04
elapsed=1.862193e+00 cycle=1700 time=1.160877e+00 dt=6.622209e-04
elapsed=1.963823e+00 cycle=1800 time=1.227238e+00 dt=6.606290e-04
elapsed=2.074273e+00 cycle=1900 time=1.293259e+00 dt=6.621345e-04
elapsed=2.176015e+00 cycle=2000 time=1.359849e+00 dt=6.675360e-04
elapsed=2.284996e+00 cycle=2100 time=1.425955e+00 dt=6.560194e-04
elapsed=2.393928e+00 cycle=2200 time=1.491185e+00 dt=6.557445e-04
elapsed=2.496061e+00 cycle=2300 time=1.557450e+00 dt=6.659434e-04
elapsed=2.607248e+00 cycle=2400 time=1.623181e+00 dt=6.519573e-04
elapsed=2.711420e+00 cycle=2500 time=1.688258e+00 dt=6.485877e-04
elapsed=2.822530e+00 cycle=2600 time=1.753332e+00 dt=6.506052e-04
elapsed=2.924655e+00 cycle=2700 time=1.817729e+00 dt=6.457356e-04
elapsed=3.035220e+00 cycle=2800 time=1.883148e+00 dt=6.527318e-04
elapsed=3.138607e+00 cycle=2900 time=1.948383e+00 dt=6.557756e-04
elapsed=3.248834e+00 cycle=3000 time=2.014457e+00 dt=6.596363e-04
elapsed=3.358677e+00 cycle=3100 time=2.080130e+00 dt=6.578824e-04
elapsed=3.460574e+00 cycle=3200 time=2.145938e+00 dt=6.586651e-04
elapsed=3.570518e+00 cycle=3300 time=2.211398e+00 dt=6.491687e-04
elapsed=3.673818e+00 cycle=3400 time=2.276308e+00 dt=6.508811e-04
elapsed=3.783562e+00 cycle=3500 time=2.341200e+00 dt=6.487198e-04
elapsed=3.886235e+00 cycle=3600 time=2.405830e+00 dt=6.412983e-04
