
Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.233872e-02 cycle=0 time=0.000000e+00 dt=3.451540e-04
elapsed=1.153046e-01 cycle=100 time=3.449655e-02 dt=3.451432e-04
elapsed=2.161221e-01 cycle=200 time=6.900274e-02 dt=3.453179e-04
elapsed=3.256579e-01 cycle=300 time=1.033496e-01 dt=3.408079e-04
elapsed=4.265114e-01 cycle=400 time=1.372824e-01 dt=3.355096e-04
elapsed=5.355616e-01 cycle=500 time=1.706525e-01 dt=3.337233e-04
elapsed=6.367091e-01 cycle=600 time=2.039422e-01 dt=3.335802e-04
elapsed=7.383746e-01 cycle=700 time=2.371992e-01 dt=3.323708e-04
elapsed=8.481072e-01 cycle=800 time=2.705405e-01 dt=3.373902e-04
elapsed=9.496192e-01 cycle=900 time=3.041760e-01 dt=3.362401e-04
elapsed=1.050401e+00 cycle=1000 time=3.380640e-01 dt=3.384524e-04
elapsed=1.158333e+00 cycle=1100 time=3.718623e-01 dt=3.395671e-04
elapsed=1.257555e+00 cycle=1200 time=4.054815e-01 dt=3.337753e-04
elapsed=1.357309e+00 cycle=1300 time=4.386130e-01 dt=3.285437e-04
elapsed=1.465454e+00 cycle=1400 time=4.714850e-01 dt=3.307981e-04
elapsed=1.564898e+00 cycle=1500 time=5.045126e-01 dt=3.276062e-04
elapsed=1.664299e+00 cycle=1600 time=5.373101e-01 dt=3.299806e-04
elapsed=1.771990e+00 cycle=1700 time=5.703209e-01 dt=3.299830e-04
elapsed=1.871448e+00 cycle=1800 time=6.034568e-01 dt=3.312660e-04
elapsed=1.971127e+00 cycle=1900 time=6.367948e-01 dt=3.329075e-04
elapsed=2.070514e+00 cycle=2000 time=6.697987e-01 dt=3.298673e-04
elapsed=2.177980e+00 cycle=2100 time=7.030713e-01 dt=3.325816e-04
elapsed=2.277402e+00 cycle=2200 time=7.362205e-01 dt=3.317832e-04
elapsed=2.376871e+00 cycle=2300 time=7.695326e-01 dt=3.324654e-04
elapsed=2.485039e+00 cycle=2400 time=8.025182e-01 dt=3.262994e-04
elapsed=2.584840e+00 cycle=2500 time=8.356251e-01 dt=3.289934e-04
elapsed=2.684777e+00 cycle=2600 time=8.686107e-01 dt=3.304156e-04
elapsed=2.793174e+00 cycle=2700 time=9.014818e-01 dt=3.267050e-04
elapsed=2.893080e+00 cycle=2800 time=9.342124e-01 dt=3.268410e-04
elapsed=2.992703e+00 cycle=2900 time=9.667841e-01 dt=3.243137e-04
elapsed=3.092542e+00 cycle=3000 time=9.993557e-01 dt=3.261147e-04
elapsed=3.200770e+00 cycle=3100 time=1.031847e+00 dt=3.226874e-04
elapsed=3.300389e+00 cycle=3200 time=1.064179e+00 dt=3.257843e-04
elapsed=3.400025e+00 cycle=3300 time=1.096783e+00 dt=3.269582e-04
elapsed=3.499922e+00 cycle=3400 time=1.129297e+00 dt=3.239964e-04
elapsed=3.607454e+00 cycle=3500 time=1.161581e+00 dt=3.224597e-04
elapsed=3.706524e+00 cycle=3600 time=1.193951e+00 dt=3.240446e-04
elapsed=3.806284e+00 cycle=3700 time=1.226247e+00 dt=3.231584e-04
elapsed=3.905402e+00 cycle=3800 time=1.258790e+00 dt=3.276439e-04
elapsed=4.013592e+00 cycle=3900 time=1.291521e+00 dt=3.282320e-04
elapsed=4.113258e+00 cycle=4000 time=1.324528e+00 dt=3.309773e-04
elapsed=4.213367e+00 cycle=4100 time=1.357259e+00 dt=3.229194e-04
elapsed=4.313880e+00 cycle=4200 time=1.389410e+00 dt=3.208669e-04
elapsed=4.421941e+00 cycle=4300 time=1.421697e+00 dt=3.234933e-04
elapsed=4.521714e+00 cycle=4400 time=1.454131e+00 dt=3.227849e-04
elapsed=4.621755e+00 cycle=4500 time=1.486116e+00 dt=3.185848e-04
elapsed=4.721221e+00 cycle=4600 time=1.518281e+00 dt=3.223968e-04
elapsed=4.828924e+00 cycle=4700 time=1.550655e+00 dt=3.236751e-04
elapsed=4.928349e+00 cycle=4800 time=1.583084e+00 dt=3.256521e-04
elapsed=5.027838e+00 cycle=4900 time=1.615419e+00 dt=3.276682e-04
elapsed=5.127538e+00 cycle=5000 time=1.647905e+00 dt=3.183048e-04
elapsed=5.235673e+00 cycle=5100 time=1.680068e+00 dt=3.233567e-04
elapsed=5.335693e+00 cycle=5200 time=1.712411e+00 dt=3.222301e-04
elapsed=5.435354e+00 cycle=5300 time=1.744128e+00 dt=3.092888e-04
elapsed=5.535471e+00 cycle=5400 time=1.774553e+00 dt=3.001526e-04
elapsed=5.635473e+00 cycle=5500 time=1.804568e+00 dt=3.001624e-04
elapsed=5.735554e+00 cycle=5600 time=1.834338e+00 dt=2.958792e-04
elapsed=5.835822e+00 cycle=5700 time=1.863720e+00 dt=2.946326e-04
elapsed=5.935886e+00 cycle=5800 time=1.893338e+00 dt=2.997052e-04
elapsed=6.036033e+00 cycle=5900 time=1.923081e+00 dt=2.966811e-04
elapsed=6.136230e+00 cycle=6000 time=1.953069e+00 dt=3.013509e-04
elapsed=6.236147e+00 cycle=6100 time=1.983136e+00 dt=2.977165e-04
elapsed=6.336417e+00 cycle=6200 time=2.012872e+00 dt=2.965140e-04
elapsed=6.436476e+00 cycle=6300 time=2.042606e+00 dt=3.059548e-04
elapsed=6.536342e+00 cycle=6400 time=2.074071e+00 dt=3.177920e-04
elapsed=6.636611e+00 cycle=6500 time=2.106050e+00 dt=3.165784e-04
elapsed=6.737143e+00 cycle=6600 time=2.137689e+00 dt=3.128328e-04
elapsed=6.838094e+00 cycle=6700 time=2.168483e+00 dt=3.027721e-04
elapsed=6.937976e+00 cycle=6800 time=2.198741e+00 dt=2.988314e-04
elapsed=7.037931e+00 cycle=6900 time=2.228124e+00 dt=2.931248e-04
elapsed=7.137692e+00 cycle=7000 time=2.258484e+00 dt=3.045453e-04
elapsed=7.237697e+00 cycle=7100 time=2.288908e+00 dt=3.035310e-04
elapsed=7.338066e+00 cycle=7200 time=2.319182e+00 dt=3.020930e-04
elapsed=7.438751e+00 cycle=7300 time=2.349008e+00 dt=2.946714e-04
elapsed=7.539146e+00 cycle=7400 time=2.377948e+00 dt=2.912330e-04
elapsed=7.639345e+00 cycle=7500 time=2.407110e+00 dt=2.995197e-04
elapsed=7.739721e+00 cycle=7600 time=2.438064e+00 dt=3.122149e-04
elapsed=7.840495e+00 cycle=7700 time=2.469753e+00 dt=3.156892e-04
elapsed=7.949033e+00 cycle=7800 time=2.501077e+00 dt=3.135501e-04
elapsed=8.049309e+00 cycle=7900 time=2.532489e+00 dt=3.137945e-04
elapsed=8.149691e+00 cycle=8000 time=2.563504e+00 dt=3.108023e-04
elapsed=8.249817e+00 cycle=8100 time=2.594399e+00 dt=3.059665e-04
elapsed=8.349746e+00 cycle=8200 time=2.625137e+00 dt=3.070521e-04
elapsed=8.449690e+00 cycle=8300 time=2.656021e+00 dt=3.057344e-04
elapsed=8.550185e+00 cycle=8400 time=2.686739e+00 dt=3.058258e-04
elapsed=8.650961e+00 cycle=8500 time=2.717446e+00 dt=3.054035e-04
elapsed=8.751312e+00 cycle=8600 time=2.748314e+00 dt=3.063184e-04
elapsed=8.851742e+00 cycle=8700 time=2.778926e+00 dt=3.075490e-04
elapsed=8.952256e+00 cycle=8800 time=2.809671e+00 dt=3.082555e-04
elapsed=9.060659e+00 cycle=8900 time=2.840315e+00 dt=3.070450e-04
elapsed=9.160792e+00 cycle=9000 time=2.870844e+00 dt=3.013360e-04
elapsed=9.261159e+00 cycle=9100 time=2.900874e+00 dt=2.985522e-04
elapsed=9.361274e+00 cycle=9200 time=2.930675e+00 dt=2.953974e-04
elapsed=9.453366e+00 cycle=9300 time=2.959552e+00 dt=2.832836e-04
elapsed=9.554126e+00 cycle=9400 time=2.987742e+00 dt=2.819415e-04
elapsed=9.655304e+00 cycle=9500 time=3.015940e+00 dt=2.809756e-04
elapsed=9.755626e+00 cycle=9600 time=3.043150e+00 dt=2.625354e-04
elapsed=9.855695e+00 cycle=9700 time=3.070871e+00 dt=3.083566e-04
